,Title,Author,Published,Link
34,Workload Partitioning Strategy for Improved Parallelism on FPGA-CPU Heterogeneous Chips,"Amiri, S.",Aug 2018,https://pureportal.coventry.ac.uk/en/publications/workload-partitioning-strategy-for-improved-parallelism-on-fpga-c
35,FPGA-Based Soft-Core Processors for Image Processing Applications,"Amiri, M.",Apr 2017,https://pureportal.coventry.ac.uk/en/publications/fpga-based-soft-core-processors-for-image-processing-applications
36,Application of digital signal processing in discrimination of neutrons and gamma rays,"Amiri, M.",Jul 2015,https://pureportal.coventry.ac.uk/en/publications/application-of-digital-signal-processing-in-discrimination-of-neu
37,Neutron/gamma-ray discrimination through measures of fit,"Amiri, M.",Apr 2015,https://pureportal.coventry.ac.uk/en/publications/neutrongamma-ray-discrimination-through-measures-of-fit
38,Optimum filter-based discrimination of neutrons and gamma rays,"Amiri, M.",Apr 2015,https://pureportal.coventry.ac.uk/en/publications/optimum-filter-based-discrimination-of-neutrons-and-gamma-rays
39,Quick algorithms for real-time discrimination of neutrons and gamma rays,"Amiri, M.",Jan 2015,https://pureportal.coventry.ac.uk/en/publications/quick-algorithms-for-real-time-discrimination-of-neutrons-and-gam
40,Significant reliability improvement of NMR systems,"Amiri, M.",May 2015,https://pureportal.coventry.ac.uk/en/publications/significant-reliability-improvement-of-nmr-systems
41,A counter/discriminator of neutrons and gamma rays,"Amiri, M.",Aug 2014,https://pureportal.coventry.ac.uk/en/publications/a-counterdiscriminator-of-neutrons-and-gamma-rays
42,Digital data processing of stilbene,"Amiri, M.",30 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/digital-data-processing-of-stilbene
43,Digital two-parametric processing of the output data from radiation detectors,"Amiri, M.",Apr 2014,https://pureportal.coventry.ac.uk/en/publications/digital-two-parametric-processing-of-the-output-data-from-radiati
44,General solutions for MTTF and steady-state availability of NMR systems,"Amiri, M.",May 2014,https://pureportal.coventry.ac.uk/en/publications/general-solutions-for-mttf-and-steady-state-availability-of-nmr-s
45,"Safety evaluation of parallel, standby, and NMR systems","Amiri, M.",Oct 2014,https://pureportal.coventry.ac.uk/en/publications/safety-evaluation-of-parallel-standby-and-nmr-systems
46,Design of a simple reliable voter for modular redundancy implementations,"Amiri, M.",May 2013,https://pureportal.coventry.ac.uk/en/publications/design-of-a-simple-reliable-voter-for-modular-redundancy-implemen
47,Fault collapsing and test generation for a circuit,"Amiri, M.",Oct 2013,https://pureportal.coventry.ac.uk/en/publications/fault-collapsing-and-test-generation-for-a-circuit
48,Discrimination of neutron and photon signals using time and frequency domain data,"Amiri, M.",Apr 2012,https://pureportal.coventry.ac.uk/en/publications/discrimination-of-neutron-and-photon-signals-using-time-and-frequ
49,Quick algorithms to calculate mean time to failure and steady state availability of systems,"Amiri, M.",Oct 2012,https://pureportal.coventry.ac.uk/en/publications/quick-algorithms-to-calculate-mean-time-to-failure-and-steady-sta
50,Wireless sensor networks: Evaluation of power consumption and lifetime bounds,"Amiri, M.",25 Nov 2011,https://pureportal.coventry.ac.uk/en/publications/wireless-sensor-networks-evaluation-of-power-consumption-and-life
51,Evaluation of Lifetime Bounds of Wireless Sensor Networks,"Amiri, M.",8 Nov 2010,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-lifetime-bounds-of-wireless-sensor-networks
52,An Empirical Evaluation of Learning Style and Knowledge Level Adaptation,"Anane, R.",2016,https://pureportal.coventry.ac.uk/en/publications/an-empirical-evaluation-of-learning-style-and-knowledge-level-ada-2
53,Usability and Effectiveness Evaluation of Adaptivity in E-Learning Systems,"Anane, R.",2016,https://pureportal.coventry.ac.uk/en/publications/usability-and-effectiveness-evaluation-of-adaptivity-in-e-learnin-2
54,An E-Learning Investigation into Learning Style Adaptivity,"Anane, R.",5 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/an-e-learning-investigation-into-learning-style-adaptivity
55,Design and Usability Evaluation of Adaptive e-learning Systems Based on Learner Knowledge and Learning Style,"Anane, R.",Aug 2015,https://pureportal.coventry.ac.uk/en/publications/design-and-usability-evaluation-of-adaptive-e-learning-systems-ba-2
56,Students' Satisfaction in Learning Style-Based Adaptation,"Anane, R.",2015,https://pureportal.coventry.ac.uk/en/publications/students-satisfaction-in-learning-style-based-adaptation-2
57,The Impact of Learning Style Adaptivity in Teaching Computer Security,"Anane, R.",2015,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-learning-style-adaptivity-in-teaching-computer-secu-2
58,Adaptivity in E-learning systems,"Anane, R.",Oct 2014,https://pureportal.coventry.ac.uk/en/publications/adaptivity-in-e-learning-systems-2
59,Social Network Enhancement for Non-formal Learning,"Anane, R.",2014,https://pureportal.coventry.ac.uk/en/publications/social-network-enhancement-for-non-formal-learning-2
60,The Learning Object Triangle,"Anane, R.",17 Sep 2014,https://pureportal.coventry.ac.uk/en/publications/the-learning-object-triangle-2
61,Agent-based interaction protocols and topologies for manufacturing task allocation,"Anane, R.",2013,https://pureportal.coventry.ac.uk/en/publications/agent-based-interaction-protocols-and-topologies-for-manufacturin-2
62,A Recommendation Cascade for e-learning,"Anane, R.",25 Mar 2013,https://pureportal.coventry.ac.uk/en/publications/a-recommendation-cascade-for-e-learning
63,Hybrid P2P Architecture for Transaction Management,"Anane, R.",19 Dec 2013,https://pureportal.coventry.ac.uk/en/publications/hybrid-p2p-architecture-for-transaction-management
64,Hybrid Profiling in Information Retrieval,"Anane, R.",11 Jun 2013,https://pureportal.coventry.ac.uk/en/publications/hybrid-profiling-in-information-retrieval
65,A new agents-based model for dynamic job allocation in manufacturing shopfloors,"Anane, R.",4 May 2012,https://pureportal.coventry.ac.uk/en/publications/a-new-agents-based-model-for-dynamic-job-allocation-in-manufactur-2
66,An optimized approach for storing and accessing small files on cloud storage,"Chao, K-M.",Nov 2012,https://pureportal.coventry.ac.uk/en/publications/an-optimized-approach-for-storing-and-accessing-small-files-on-cl-2
67,A service-oriented architecture for robust e-voting,"Anane, R.",2012,https://pureportal.coventry.ac.uk/en/publications/a-service-oriented-architecture-for-robust-e-voting-2
68,File management in a mobile DHT-based P2P environment,"Anane, R.",2012,https://pureportal.coventry.ac.uk/en/publications/file-management-in-a-mobile-dht-based-p2p-environment-4
69,The Impact of Modes of Mediation on the Web Retrieval Process,"Anane, R.",Sep 2012,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-modes-of-mediation-on-the-web-retrieval-process
70,Model interoperability via model driven development,"Anane, R.",Mar 2011,https://pureportal.coventry.ac.uk/en/publications/model-interoperability-via-model-driven-development-2
71,Robust e-Voting Composition,"Anane, R.",Dec 2011,https://pureportal.coventry.ac.uk/en/publications/robust-e-voting-composition
72,An architecture for grid-enabled distributed simulation,"Anane, R.",2009,https://pureportal.coventry.ac.uk/en/publications/an-architecture-for-grid-enabled-distributed-simulation-2
73,Stateless data concealment for distributed systems,"Anane, R.",Mar 2008,https://pureportal.coventry.ac.uk/en/publications/stateless-data-concealment-for-distributed-systems-2
74,A timed automata approach to QoS resolution,"Anane, R.",Jan 2006,https://pureportal.coventry.ac.uk/en/publications/a-timed-automata-approach-to-qos-resolution-2
75,eLearning content provision,"Anane, R.",2004,https://pureportal.coventry.ac.uk/en/publications/elearning-content-provision-2
76,Implementation of a proactive load sharing scheme,"Anane, R.",2003,https://pureportal.coventry.ac.uk/en/publications/implementation-of-a-proactive-load-sharing-scheme-2
77,Multiple evolutionary agents for decision support,"Chao, K-M.",2003,https://pureportal.coventry.ac.uk/en/publications/multiple-evolutionary-agents-for-decision-support-2
78,Transaction oriented engineering design and formal specification: a multi-agent approach,"Chao, K-M.",2003,https://pureportal.coventry.ac.uk/en/publications/transaction-oriented-engineering-design-and-formal-specification--2
79,An agent-based approach to engineering design,"Chao, K-M.",May 2002,https://pureportal.coventry.ac.uk/en/publications/an-agent-based-approach-to-engineering-design-2
80,Data mining and serial documents,"Anane, R.",Aug 2001,https://pureportal.coventry.ac.uk/en/publications/data-mining-and-serial-documents-2
81,HiSQL: A front-end Query System for Historical Databases,"Anane, R.",Nov 1997,https://pureportal.coventry.ac.uk/en/publications/hisql-a-front-end-query-system-for-historical-databases
82,A critical comparison on attitude estimation: From gaussian approximate filters to coordinate-free dual optimal control,"Arvanitakis, I.",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/a-critical-comparison-on-attitude-estimation-from-gaussian-approx
83,A New Approach for Broken Rotor Bar Detection in Induction Motors Using Frequency Extraction in Stray Flux Signals,"Arvanitakis, I.",1 Jul 2019,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-for-broken-rotor-bar-detection-in-induction-motors
84,Development and Evaluation of a Novel Robotic System for Search and Rescue,"Huda, M. N.",2019,https://pureportal.coventry.ac.uk/en/publications/development-and-evaluation-of-a-novel-robotic-system-for-search-a
85,FEM approach for diagnosis of induction machines' non-adjacent broken rotor bars by short-time Fourier transform spectrogram,"Arvanitakis, I.",17 Jun 2019,https://pureportal.coventry.ac.uk/en/publications/fem-approach-for-diagnosis-of-induction-machines-non-adjacent-bro-2
86,Frequency Extraction of Current Signal Spectral Components: A New Tool for the Detection of Rotor Electrical Faults in Induction Motors ,"Arvanitakis, I.",14 Oct 2019,https://pureportal.coventry.ac.uk/en/publications/frequency-extraction-of-current-signal-spectral-components-a-new-
87,On the broken rotor bar diagnosis using time-frequency analysis: 'Is one spectral representation enough for the characterisation of monitored signals?',"Arvanitakis, I.",11 Jul 2019,https://pureportal.coventry.ac.uk/en/publications/on-the-broken-rotor-bar-diagnosis-using-time-frequency-analysis-i
88,Analysis of Stray Flux Spectral Components in Induction Machines under Rotor Bar Breakages at Various Locations,"Arvanitakis, I.",25 Oct 2018,https://pureportal.coventry.ac.uk/en/publications/analysis-of-stray-flux-spectral-components-in-induction-machines-
89,FEM Approach for Diagnosis of Induction Machines’ Non-Adjacent Broken Rotor Bars by STFT Spectrogram,"Arvanitakis, I.",2018,https://pureportal.coventry.ac.uk/en/publications/fem-approach-for-diagnosis-of-induction-machines-non-adjacent-bro
90,FEM Study of Induction Machines Suffering from Rotor Electrical Faults Using Stray Flux Signature Analysis,"Arvanitakis, I.",25 Oct 2018,https://pureportal.coventry.ac.uk/en/publications/fem-study-of-induction-machines-suffering-from-rotor-electrical-f
91,Synergistic exploration and navigation of mobile robots under pose uncertainty in unknown environments,"Arvanitakis, I.",1 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/synergistic-exploration-and-navigation-of-mobile-robots-under-pos
92,Collaborative mapping and navigation for a mobile robot swarm,"Arvanitakis, I.",18 Jul 2017,https://pureportal.coventry.ac.uk/en/publications/collaborative-mapping-and-navigation-for-a-mobile-robot-swarm
93,Mobile Robot Navigation Under Pose Uncertainty in Unknown Environments,"Arvanitakis, I.",Jul 2017,https://pureportal.coventry.ac.uk/en/publications/mobile-robot-navigation-under-pose-uncertainty-in-unknown-environ
94,Mobile robot navigation in unknown environment based on exploration principles,"Arvanitakis, I.",Sep 2016,https://pureportal.coventry.ac.uk/en/publications/mobile-robot-navigation-in-unknown-environment-based-on-explorati
95,Piecewise affine modeling and constrained optimal control for a pneumatic artificial muscle,"Arvanitakis, I.",2014,https://pureportal.coventry.ac.uk/en/publications/piecewise-affine-modeling-and-constrained-optimal-control-for-a-p
96,Geodesic motion planning on 3D-terrains satisfying the robot's kinodynamic constraints,"Arvanitakis, I.",2013,https://pureportal.coventry.ac.uk/en/publications/geodesic-motion-planning-on-3d-terrains-satisfying-the-robots-kin
97,Switching model predictive control of a pneumatic artificial muscle,"Arvanitakis, I.",Dec 2013,https://pureportal.coventry.ac.uk/en/publications/switching-model-predictive-control-of-a-pneumatic-artificial-musc
98,A switched system modeling approach for a pneumatic muscle actuator,"Arvanitakis, J.",2012,https://pureportal.coventry.ac.uk/en/publications/a-switched-system-modeling-approach-for-a-pneumatic-muscle-actuat
99,Multi-parametric constrained optimal control of a pneumatic artificial muscle,"Arvanitakis, I.",2012,https://pureportal.coventry.ac.uk/en/publications/multi-parametric-constrained-optimal-control-of-a-pneumatic-artif
100,Trajectory optimization satisfying the robot's kinodynamic constraints for obstacle avoidance,"Arvanitakis, I.",1 Jul 2012,https://pureportal.coventry.ac.uk/en/publications/trajectory-optimization-satisfying-the-robots-kinodynamic-constra
101,Dynamic analysis and cascade movement simulation of a pneumatic muscle actuator,"Arvanitakis, J.",2011,https://pureportal.coventry.ac.uk/en/publications/dynamic-analysis-and-cascade-movement-simulation-of-a-pneumatic-m
102,On the adaptive performance improvement of a trajectory tracking controller for non-holonomic mobile robots,"Arvanitakis, J.",2011,https://pureportal.coventry.ac.uk/en/publications/on-the-adaptive-performance-improvement-of-a-trajectory-tracking-
103,A collaborative Unmanned Helicopter control strategy for image compression and wireless transmission,"Arvanitakis, I.",2010,https://pureportal.coventry.ac.uk/en/publications/a-collaborative-unmanned-helicopter-control-strategy-for-image-co
104,STEM outreach activities: an approach to teachers' professional development,"Aslam, F.",29 May 2019,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev-3
105,STEM outreach activities: an approach to teachers’ professional development: STEM outreach activities,"Aslam, F.",10 Jan 2018,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev
106,Computational characterisation of absorption properties of CdSe nanostructure,"Aslam, F.",15 Mar 2013,https://pureportal.coventry.ac.uk/en/publications/computational-characterisation-of-absorption-properties-of-cdse-n-2
107,Generic constructions of identity-based and certificateless KEMs,"Bentahar, K.",Apr 2008,https://pureportal.coventry.ac.uk/en/publications/generic-constructions-of-identity-based-and-certificateless-kems
108,"Efficient 15,360-bit RSA using woop-optimised montgomery arithmetic","Bentahar, K.",2007,https://pureportal.coventry.ac.uk/en/publications/efficient-15360-bit-rsa-using-woop-optimised-montgomery-arithmeti
109,Lash,"Bentahar, K.",2006,https://pureportal.coventry.ac.uk/en/publications/lash
110,"The equivalence between the DHP and DLP for elliptic curves used in practical applications, revisited","Bentahar, K.",2005,https://pureportal.coventry.ac.uk/en/publications/the-equivalence-between-the-dhp-and-dlp-for-elliptic-curves-used-
111,An investigation into the forensic implications of the Windows 10 operating system: recoverable artefacts and significant changes from Windows 8.1,"Hintea, D.",Nov 2017,https://pureportal.coventry.ac.uk/en/publications/an-investigation-into-the-forensic-implications-of-the-windows-10
112,Digital forensics and the GDPR: examining corporate readiness,"Bird, R.",2 Apr 2017,https://pureportal.coventry.ac.uk/en/publications/digital-forensics-and-the-gdpr-examining-corporate-readiness
113,Professionalising the science of Digital Forensics - Policy Logging and audit-able record keeping as a Life-long record,"Bird, R.",2 Apr 2017,https://pureportal.coventry.ac.uk/en/publications/professionalising-the-science-of-digital-forensics-policy-logging
114,Forensic Analysis of Smartphone Applications for Privacy Leakage,"Hintea, D.",Apr 2016,https://pureportal.coventry.ac.uk/en/publications/forensic-analysis-of-smartphone-applications-for-privacy-leakage
115,Malware in the Mobile Device Android Environment,"Hintea, D.",Apr 2016,https://pureportal.coventry.ac.uk/en/publications/malware-in-the-mobile-device-android-environment
116,Investigating vulnerabilities in GSM security,"Bird, R.",2015,https://pureportal.coventry.ac.uk/en/publications/investigating-vulnerabilities-in-gsm-security-2
117,Meta-Cyber Security System,"Bird, R.",Feb 2015,https://pureportal.coventry.ac.uk/en/publications/meta-cyber-security-system
118,A comparison of information retrieval models,"Bird, B.",2014,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-information-retrieval-models-2
119,The development of constructive alignment in Activity Led Learning and assessment of digital forensics,"Bird, B.",2014,https://pureportal.coventry.ac.uk/en/publications/the-development-of-constructive-alignment-in-activity-led-learnin-2
120,Collaborative design of computer network using Activity-Led Learning approach,"Bird, R.",2011,https://pureportal.coventry.ac.uk/en/publications/collaborative-design-of-computer-network-using-activity-led-learn-2
121,GROUP PERFORMANCE MODEL FOR AN ACTIVITY LED LEARNING APPROACH,"Bird, R.",2011,https://pureportal.coventry.ac.uk/en/publications/group-performance-model-for-an-activity-led-learning-approach-2
122,A probabilistic predictive model for assessing the economic reusability of load-bearing building components: Developing a Circular Economy framework,"Rakhshanbabanari, K.",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/a-probabilistic-predictive-model-for-assessing-the-economic-reusa
123,A systematic review and meta-analysis of prevalence of insomnia in the third trimester of pregnancy,"Daneshkhah, A.",9 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/a-systematic-review-and-meta-analysis-of-prevalence-of-insomnia-i
124,Generation of Pedestrian Crossing Scenarios Using Ped-Cross Generative Adversarial Network,"Spooner, J. P.",6 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-crossing-scenarios-using-ped-cross-gener
125,"Predicting mortality, duration of treatment, pulmonary embolism and required ceiling of ventilatory support for COVID-19 inpatients: A Machine-Learning Approach","Rakhshanbabanari, K.",20 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/predicting-mortality-duration-of-treatment-pulmonary-embolism-and
126,Predicting the technical reusability of load-bearing building components: A probabilistic approach towards developing a Circular Economy framework,"Rakhshanbabanari, K.",1 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/predicting-the-technical-reusability-of-load-bearing-building-com
127,Scenario Optimisation and Sensitivity Analysis for Safe Automated Driving Using Gaussian Processes,"Batsch, F.",15 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/scenario-optimisation-and-sensitivity-analysis-for-safe-automated
128,Using Machine Learning Algorithms to Develop a Clinical Decision-Making Tool for COVID-19 Inpatients,"Daneshkhah, A.",9 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-algorithms-to-develop-a-clinical-decision-
129,A low cost and highly accurate technique for big data spatial-temporal interpolation,"Daneshkhah, A.",1 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/a-low-cost-and-highly-accurate-technique-for-big-data-spatial-tem
130,Behavioural Analytics: A Preventative Means for the Future of Policing,"Daneshkhah, A.",17 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/behavioural-analytics-a-preventative-means-for-the-future-of-poli
131,Classification of a Pedestrian’s Behaviour Using Dual Deep Neural Networks,"Spooner, J.",4 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/classification-of-a-pedestrians-behaviour-using-dual-deep-neural-
132,Constructing gene regulatory networks from microarray data using non-Gaussian pair-copula Bayesian networks,"Daneshkhah, A.",24 Jul 2020,https://pureportal.coventry.ac.uk/en/publications/constructing-gene-regulatory-networks-from-microarray-data-using-
133,Copula-based probabilistic assessment of intensity and duration of cold episodes: A case study of Malayer vineyard region,"Daneshkhah, A.",15 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/copula-based-probabilistic-assessment-of-intensity-and-duration-o
134,Digital Twin Technologies and Smart Cities,"Daneshkhah, A. (ed.)",2020,https://pureportal.coventry.ac.uk/en/publications/digital-twin-technologies-and-smart-cities
135,Generation of pedestrian pose structures using generative adversarial networks,"Spooner, J.",17 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-pose-structures-using-generative-adversa
136,On the functional central limit theorem for first passage time of nonlinear semi-Markov reward processes,"Daneshkhah, A.",1 Oct 2020,https://pureportal.coventry.ac.uk/en/publications/on-the-functional-central-limit-theorem-for-first-passage-time-of
137,Some Computational Considerations for Kernel-Based Support Vector Machine,"Daneshkhah, A.",2020,https://pureportal.coventry.ac.uk/en/publications/some-computational-considerations-for-kernel-based-support-vector
138,The impact of physical exercise on the fatigue symptoms in patients with multiple sclerosis: A systematic review and meta-analysis,"Daneshkhah, A.",13 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-physical-exercise-on-the-fatigue-symptoms-in-patien
139,The prevalence of Restless Legs Syndrome/Willis-ekbom disease (RLS/WED) in the third trimester of pregnancy: a systematic review,"Daneshkhah, A.",13 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-restless-legs-syndromewillis-ekbom-disease-rlsw
140,The prevalence of severe depression in Iranian older adult: a meta-analysis and meta-regression,"Daneshkhah, A.",3 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-severe-depression-in-iranian-older-adult-a-meta
141,The prevalence of sleep disturbances among physicians and nurses facing the COVID-19 patients: a systematic review and meta-analysis,"Daneshkhah, A.",29 Sep 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-sleep-disturbances-among-physicians-and-nurses-
142,"The prevalence of stress, anxiety and depression within front-line healthcare workers caring for COVID-19 patients: a systematic review and meta-regression","Daneshkhah, A.",17 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/the-prevalence-of-stress-anxiety-and-depression-within-front-line
143,Mass transpiration in magneto-hydrodynamic boundary layer flow over a superlinear stretching sheet embedded in porous medium with slip,"Daneshkhah, A.",1 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/mass-transpiration-in-magneto-hydrodynamic-boundary-layer-flow-ov
144,Optimizing minimum information pair-copula using genetic algorithm to select optimal basis functions,"Daneshkhah, A.",7 Feb 2019,https://pureportal.coventry.ac.uk/en/publications/optimizing-minimum-information-pair-copula-using-genetic-algorith
145,Performance Boundary Identification for the Evaluation of Automated Vehicles using Gaussian Process Classification,"Batsch, F.",2019,https://pureportal.coventry.ac.uk/en/publications/performance-boundary-identification-for-the-evaluation-of-automat
